,N,K,D,noise_std,sparsity,seed
0,100,5,"[400, 400, 400]",1.0,0.75,0
1,100,5,"[400, 400, 400]",1.0,0.75,1
2,100,5,"[400, 400, 400]",1.0,0.75,2
3,100,5,"[400, 400, 400]",1.0,0.75,3
4,100,5,"[400, 400, 400]",1.0,0.75,4
5,100,5,"[400, 400, 400]",1.0,0.75,5
6,100,5,"[400, 400, 400]",1.0,0.75,6
7,100,5,"[400, 400, 400]",1.0,0.75,7
8,100,5,"[400, 400, 400]",1.0,0.75,8
9,100,5,"[400, 400, 400]",1.0,0.75,9
10,100,5,"[400, 400, 400]",1.0,0.75,10
11,100,5,"[400, 400, 400]",1.0,0.75,11
12,100,5,"[400, 400, 400]",1.0,0.75,12
13,100,5,"[400, 400, 400]",1.0,0.75,13
14,100,5,"[400, 400, 400]",1.0,0.75,14
15,100,5,"[400, 400, 400]",1.0,0.75,15
16,100,5,"[400, 400, 400]",1.0,0.75,16
17,100,5,"[400, 400, 400]",1.0,0.75,17
18,100,5,"[400, 400, 400]",1.0,0.75,18
19,100,5,"[400, 400, 400]",1.0,0.75,19
20,100,1,"[400, 400, 400]",1.0,0.75,0
21,100,1,"[400, 400, 400]",1.0,0.75,1
22,100,1,"[400, 400, 400]",1.0,0.75,2
23,100,1,"[400, 400, 400]",1.0,0.75,3
24,100,1,"[400, 400, 400]",1.0,0.75,4
25,100,1,"[400, 400, 400]",1.0,0.75,5
26,100,1,"[400, 400, 400]",1.0,0.75,6
27,100,1,"[400, 400, 400]",1.0,0.75,7
28,100,1,"[400, 400, 400]",1.0,0.75,8
29,100,1,"[400, 400, 400]",1.0,0.75,9
30,100,1,"[400, 400, 400]",1.0,0.75,10
31,100,1,"[400, 400, 400]",1.0,0.75,11
32,100,1,"[400, 400, 400]",1.0,0.75,12
33,100,1,"[400, 400, 400]",1.0,0.75,13
34,100,1,"[400, 400, 400]",1.0,0.75,14
35,100,1,"[400, 400, 400]",1.0,0.75,15
36,100,1,"[400, 400, 400]",1.0,0.75,16
37,100,1,"[400, 400, 400]",1.0,0.75,17
38,100,1,"[400, 400, 400]",1.0,0.75,18
39,100,1,"[400, 400, 400]",1.0,0.75,19
40,100,7,"[400, 400, 400]",1.0,0.75,0
41,100,7,"[400, 400, 400]",1.0,0.75,1
42,100,7,"[400, 400, 400]",1.0,0.75,2
43,100,7,"[400, 400, 400]",1.0,0.75,3
44,100,7,"[400, 400, 400]",1.0,0.75,4
45,100,7,"[400, 400, 400]",1.0,0.75,5
46,100,7,"[400, 400, 400]",1.0,0.75,6
47,100,7,"[400, 400, 400]",1.0,0.75,7
48,100,7,"[400, 400, 400]",1.0,0.75,8
49,100,7,"[400, 400, 400]",1.0,0.75,9
50,100,7,"[400, 400, 400]",1.0,0.75,10
51,100,7,"[400, 400, 400]",1.0,0.75,11
52,100,7,"[400, 400, 400]",1.0,0.75,12
53,100,7,"[400, 400, 400]",1.0,0.75,13
54,100,7,"[400, 400, 400]",1.0,0.75,14
55,100,7,"[400, 400, 400]",1.0,0.75,15
56,100,7,"[400, 400, 400]",1.0,0.75,16
57,100,7,"[400, 400, 400]",1.0,0.75,17
58,100,7,"[400, 400, 400]",1.0,0.75,18
59,100,7,"[400, 400, 400]",1.0,0.75,19
60,100,10,"[400, 400, 400]",1.0,0.75,0
61,100,10,"[400, 400, 400]",1.0,0.75,1
62,100,10,"[400, 400, 400]",1.0,0.75,2
63,100,10,"[400, 400, 400]",1.0,0.75,3
64,100,10,"[400, 400, 400]",1.0,0.75,4
65,100,10,"[400, 400, 400]",1.0,0.75,5
66,100,10,"[400, 400, 400]",1.0,0.75,6
67,100,10,"[400, 400, 400]",1.0,0.75,7
68,100,10,"[400, 400, 400]",1.0,0.75,8
69,100,10,"[400, 400, 400]",1.0,0.75,9
70,100,10,"[400, 400, 400]",1.0,0.75,10
71,100,10,"[400, 400, 400]",1.0,0.75,11
72,100,10,"[400, 400, 400]",1.0,0.75,12
73,100,10,"[400, 400, 400]",1.0,0.75,13
74,100,10,"[400, 400, 400]",1.0,0.75,14
75,100,10,"[400, 400, 400]",1.0,0.75,15
76,100,10,"[400, 400, 400]",1.0,0.75,16
77,100,10,"[400, 400, 400]",1.0,0.75,17
78,100,10,"[400, 400, 400]",1.0,0.75,18
79,100,10,"[400, 400, 400]",1.0,0.75,19
80,100,15,"[400, 400, 400]",1.0,0.75,0
81,100,15,"[400, 400, 400]",1.0,0.75,1
82,100,15,"[400, 400, 400]",1.0,0.75,2
83,100,15,"[400, 400, 400]",1.0,0.75,3
84,100,15,"[400, 400, 400]",1.0,0.75,4
85,100,15,"[400, 400, 400]",1.0,0.75,5
86,100,15,"[400, 400, 400]",1.0,0.75,6
87,100,15,"[400, 400, 400]",1.0,0.75,7
88,100,15,"[400, 400, 400]",1.0,0.75,8
89,100,15,"[400, 400, 400]",1.0,0.75,9
90,100,15,"[400, 400, 400]",1.0,0.75,10
91,100,15,"[400, 400, 400]",1.0,0.75,11
92,100,15,"[400, 400, 400]",1.0,0.75,12
93,100,15,"[400, 400, 400]",1.0,0.75,13
94,100,15,"[400, 400, 400]",1.0,0.75,14
95,100,15,"[400, 400, 400]",1.0,0.75,15
96,100,15,"[400, 400, 400]",1.0,0.75,16
97,100,15,"[400, 400, 400]",1.0,0.75,17
98,100,15,"[400, 400, 400]",1.0,0.75,18
99,100,15,"[400, 400, 400]",1.0,0.75,19
100,100,20,"[400, 400, 400]",1.0,0.75,0
101,100,20,"[400, 400, 400]",1.0,0.75,1
102,100,20,"[400, 400, 400]",1.0,0.75,2
103,100,20,"[400, 400, 400]",1.0,0.75,3
104,100,20,"[400, 400, 400]",1.0,0.75,4
105,100,20,"[400, 400, 400]",1.0,0.75,5
106,100,20,"[400, 400, 400]",1.0,0.75,6
107,100,20,"[400, 400, 400]",1.0,0.75,7
108,100,20,"[400, 400, 400]",1.0,0.75,8
109,100,20,"[400, 400, 400]",1.0,0.75,9
110,100,20,"[400, 400, 400]",1.0,0.75,10
111,100,20,"[400, 400, 400]",1.0,0.75,11
112,100,20,"[400, 400, 400]",1.0,0.75,12
