N,K,D,noise_level,theta_level,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",0.2,0.2,0,5,0.5399967524632463,0.5399967524632463,0.7455577557755775,model_pca_0.01,0.01,0.4702349383581875,0.5377945473314326
100,5,"[400, 400, 400]",0.2,0.2,2,5,0.559226738084811,0.559226738084811,0.713032103210321,model_pca_0.01,0.01,0.5093760868059142,0.5557973818919859
100,5,"[400, 400, 400]",0.2,0.2,1,5,0.566187462465333,0.5661874624653331,0.6231767176717671,model_pca_0.01,0.01,0.41215056961245594,0.5022894300013511
100,5,"[400, 400, 400]",0.2,0.2,3,5,0.5410333387348926,0.5410333387348926,0.707055505550555,model_pca_0.01,0.01,0.35769110326068887,0.5254206131078941
100,5,"[400, 400, 400]",0.2,0.2,5,5,0.5389518845917608,0.5389518845917608,0.6618469846984698,model_pca_0.01,0.01,0.3188224543155066,0.4825868021721867
100,5,"[400, 400, 400]",0.2,0.2,6,5,0.5526646040916576,0.5526646040916576,0.7021782178217821,model_pca_0.01,0.01,0.4791384124569474,0.5457762471515564
100,5,"[400, 400, 400]",0.2,0.2,7,5,0.5419887762508114,0.5419887762508113,0.6765388538853886,model_pca_0.01,0.01,0.4219506682782462,0.517119088627956
100,5,"[400, 400, 400]",0.2,0.2,4,5,0.5351792481639611,0.5351792481639612,0.709100510051005,model_pca_0.01,0.01,0.4625258151942174,0.5307308019399399
100,5,"[400, 400, 400]",0.2,0.2,8,5,0.5528330443271117,0.5528330443271117,0.6651905190519051,model_pca_0.01,0.01,0.4308401517606565,0.5365883104485152
100,5,"[400, 400, 400]",0.2,0.2,9,5,0.528445461516708,0.5284454615167081,0.6904122412241224,model_pca_0.01,0.01,0.47341471682374203,0.5320712027761196
100,5,"[400, 400, 400]",0.2,0.2,10,5,0.557107924833424,0.5571079248334239,0.7615361536153614,model_pca_0.01,0.01,0.45478506744943376,0.5639632661875642
100,5,"[400, 400, 400]",0.2,0.2,11,5,0.5356897659745788,0.5356897659745788,0.7155715571557155,model_pca_0.01,0.01,0.5414369750336879,0.5607862902308552
100,5,"[400, 400, 400]",0.2,0.2,12,5,0.5315837563651079,0.5315837563651079,0.7098613861386138,model_pca_0.01,0.01,0.5230537260687015,0.5316629214581675
100,5,"[400, 400, 400]",0.2,0.2,14,5,0.5320133556996919,0.5320133556996919,0.6640216021602159,model_pca_0.01,0.01,0.3423961782515918,0.5053551779586143
100,5,"[400, 400, 400]",0.2,0.2,15,5,0.5274724322801106,0.5274724322801106,0.7673519351935193,model_pca_0.01,0.01,0.4649172046225691,0.5295145122481169
