N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,10,"[1000, 1000, 1000]",1.0,0.8,0,10,0.6770124449193696,0.6770124449193695,0.5843444344434443,model_pca_0.01,0.01,0.30595183108938695,0.40783841340848576
100,10,"[1000, 1000, 1000]",1.0,0.8,2,10,0.6822215502774872,0.6822215502774871,0.614958295829583,model_pca_0.01,0.01,0.3774146399943116,0.43960400691398777
100,10,"[1000, 1000, 1000]",1.0,0.8,3,10,0.6808916884174646,0.6808916884174645,0.6418829882988298,model_pca_0.01,0.01,0.3731209509302477,0.43477525138586537
100,10,"[1000, 1000, 1000]",1.0,0.8,1,10,0.6767171183180904,0.6767171183180904,0.5969348934893489,model_pca_0.01,0.01,0.3484146377239681,0.4276495723025489
100,10,"[1000, 1000, 1000]",1.0,0.8,4,10,0.6896047065293661,0.689604706529366,0.6008388838883888,model_pca_0.01,0.01,0.33654652293885146,0.4141815991922113
100,10,"[1000, 1000, 1000]",1.0,0.8,5,10,0.6842073215770611,0.6842073215770612,0.5823306330633062,model_pca_0.01,0.01,0.2764918087174175,0.3945001704488262
100,10,"[1000, 1000, 1000]",1.0,0.8,6,10,0.7036367097034653,0.7036367097034654,0.5694185418541853,model_pca_0.01,0.01,0.3363915961410919,0.4190029447662198
100,10,"[1000, 1000, 1000]",1.0,0.8,7,10,0.6715743410787955,0.6715743410787955,0.5388742874287429,model_pca_0.01,0.01,0.26248070291800585,0.38806574592226467
100,10,"[1000, 1000, 1000]",1.0,0.8,8,10,0.6837158510053155,0.6837158510053155,0.6154359435943594,model_pca_0.01,0.01,0.33596522212449126,0.4338186681812198
100,10,"[1000, 1000, 1000]",1.0,0.8,9,10,0.689440731422445,0.689440731422445,0.5862718271827182,model_pca_0.01,0.01,0.3062638059568803,0.41606406528273765
100,10,"[1000, 1000, 1000]",1.0,0.8,10,10,0.672802771903256,0.6728027719032561,0.6380318031803179,model_pca_0.01,0.01,0.42441533057029796,0.46248766122893675
100,10,"[1000, 1000, 1000]",1.0,0.8,11,10,0.6893907336253008,0.6893907336253007,0.5776801680168017,model_pca_0.01,0.01,0.3079741288346354,0.4133503284875098
100,10,"[1000, 1000, 1000]",1.0,0.8,13,10,0.68654117646415,0.68654117646415,0.6043504350435043,model_pca_0.01,0.01,0.3367081210417374,0.4300429943809045
100,10,"[1000, 1000, 1000]",1.0,0.8,12,10,0.6812995998289476,0.6812995998289477,0.5544350435043504,model_pca_0.01,0.01,0.3316309635951313,0.4150543669813224
100,10,"[1000, 1000, 1000]",1.0,0.8,15,10,0.6938896879651698,0.6938896879651699,0.5959099909990998,model_pca_0.01,0.01,0.2900830794263783,0.42905956612829715
100,10,"[1000, 1000, 1000]",1.0,0.8,14,10,0.6781304513002864,0.6781304513002864,0.6049720972097209,model_pca_0.01,0.01,0.3379975685509416,0.44463552855566135
100,10,"[1000, 1000, 1000]",1.0,0.8,16,10,0.6736586903215853,0.6736586903215853,0.5819201920192019,model_pca_0.01,0.01,0.299812957747167,0.42030612137105977
100,10,"[1000, 1000, 1000]",1.0,0.8,17,10,0.6848033397592136,0.6848033397592136,0.6080528052805281,model_pca_0.01,0.01,0.4127220009210933,0.43489409051034295
100,1,"[1000, 1000, 1000]",1.0,0.8,0,22,0.35061216626244135,0.3506121662624414,0.9985838583858385,model_pca_0.01,0.01,0.9544387334221716,0.6648781938121856
100,10,"[1000, 1000, 1000]",1.0,0.8,18,10,0.6724525309145614,0.6724525309145613,0.569939393939394,model_pca_0.01,0.01,0.3280994553327527,0.4186333041891959
100,10,"[1000, 1000, 1000]",1.0,0.8,19,10,0.6730445813286078,0.6730445813286077,0.5517263726372637,model_pca_0.01,0.01,0.29342930959928065,0.39780510803667063
100,1,"[1000, 1000, 1000]",1.0,0.8,1,26,0.37930523401933725,0.37930523401933725,0.9986438643864384,model_pca_0.01,0.01,0.9172056495742152,0.6461766858261127
100,1,"[1000, 1000, 1000]",1.0,0.8,2,24,0.3629874566956299,0.36298745669562993,0.9990279027902789,model_pca_0.01,0.01,0.9294190167976576,0.6526927873969964
100,1,"[1000, 1000, 1000]",1.0,0.8,3,24,0.3665209837288977,0.36652098372889774,0.9986078607860784,model_pca_0.01,0.01,0.9672555490843203,0.6577411095587461
100,1,"[1000, 1000, 1000]",1.0,0.8,4,24,0.3634071226462586,0.36340712264625863,0.9987518751875186,model_pca_0.01,0.01,0.9172056495742152,0.6600551215915925
100,1,"[1000, 1000, 1000]",1.0,0.8,5,23,0.3553043714695052,0.3553043714695052,0.9988598859885988,model_pca_0.01,0.01,0.9362460151492343,0.6709076736951624
100,1,"[1000, 1000, 1000]",1.0,0.8,7,25,0.3725189609498572,0.37251896094985737,0.998199819981998,model_pca_0.01,0.01,0.9422358324598062,0.660692223525614
100,1,"[1000, 1000, 1000]",1.0,0.8,6,25,0.3677788189484789,0.36777881894847897,0.9984878487848784,model_pca_0.01,0.01,0.955052648121955,0.6453108477950028
100,1,"[1000, 1000, 1000]",1.0,0.8,8,22,0.35310804467405704,0.353108044674057,0.9992079207920791,model_pca_0.01,0.01,0.91132779146571,0.6718997139152606
100,1,"[1000, 1000, 1000]",1.0,0.8,9,24,0.3616228466120976,0.36162284661209754,0.9988958895889587,model_pca_0.01,0.01,0.923551229877534,0.6454984690514852
100,1,"[1000, 1000, 1000]",1.0,0.8,10,25,0.3703012409732449,0.3703012409732449,0.9992079207920791,model_pca_0.01,0.01,0.9231954668847872,0.6475921749966398
100,1,"[1000, 1000, 1000]",1.0,0.8,11,24,0.3607394510602024,0.36073945106020233,0.9987038703870386,model_pca_0.01,0.01,0.9737267844431502,0.6492516355627723
100,1,"[1000, 1000, 1000]",1.0,0.8,13,22,0.35411221211424754,0.3541122121142475,0.9987998799879987,model_pca_0.01,0.01,0.9357645971009764,0.685491921712436
100,1,"[1000, 1000, 1000]",1.0,0.8,12,24,0.3636916059884013,0.3636916059884012,0.9989438943894389,model_pca_0.01,0.01,0.948581412763125,0.6657213883358848
100,1,"[1000, 1000, 1000]",1.0,0.8,14,25,0.3765307851095094,0.37653078510950944,0.9992559255925593,model_pca_0.01,0.01,0.9294190167976576,0.6827830817571168
100,1,"[1000, 1000, 1000]",1.0,0.8,15,23,0.35243317710056193,0.3524331771005619,0.9985478547854785,model_pca_0.01,0.01,0.9482151835093012,0.6478082468095382
100,1,"[1000, 1000, 1000]",1.0,0.8,17,23,0.3559186275405957,0.3559186275405958,0.9987998799879987,model_pca_0.01,0.01,0.9418696032059825,0.6648385451892906
100,1,"[1000, 1000, 1000]",1.0,0.8,16,24,0.36158194229722135,0.3615819422972214,0.9987638763876386,model_pca_0.01,0.01,0.9174462237725279,0.6439268165967952
100,1,"[1000, 1000, 1000]",1.0,0.8,18,23,0.3572985317934568,0.3572985317934567,0.999087908790879,model_pca_0.01,0.01,0.9108669108669109,0.6772408437959352
100,1,"[1000, 1000, 1000]",1.0,0.8,19,24,0.3660792148205773,0.36607921482057715,0.9989918991899188,model_pca_0.01,0.01,0.9355240229026638,0.6557277009244703
100,7,"[1000, 1000, 1000]",1.0,0.8,0,7,0.5570010272025141,0.5570010272025141,0.6385015644421584,model_pca_0.01,0.01,0.4379746403204853,0.46979646233745015
100,7,"[1000, 1000, 1000]",1.0,0.8,1,7,0.5549021943571636,0.5549021943571637,0.6782958295829582,model_pca_0.01,0.01,0.43545524840500993,0.47816144546297545
100,7,"[1000, 1000, 1000]",1.0,0.8,2,7,0.5589015013699604,0.5589015013699603,0.6527641335562127,model_pca_0.01,0.01,0.44322261026161935,0.49279859562343825
100,7,"[1000, 1000, 1000]",1.0,0.8,3,7,0.572291184421569,0.5722911844215688,0.633922249367794,model_pca_0.01,0.01,0.4137156989612136,0.48284941590329505
100,7,"[1000, 1000, 1000]",1.0,0.8,4,7,0.564474157607731,0.564474157607731,0.6326312631263126,model_pca_0.01,0.01,0.41887742147878804,0.45356039812323357
100,7,"[1000, 1000, 1000]",1.0,0.8,6,7,0.555826611870153,0.5558266118701529,0.6038986755818438,model_pca_0.01,0.01,0.30352033027968844,0.442047854808798
100,7,"[1000, 1000, 1000]",1.0,0.8,5,7,0.5581345186319555,0.5581345186319555,0.6528704299001328,model_pca_0.01,0.01,0.3655371684218839,0.4745629478834739
100,7,"[1000, 1000, 1000]",1.0,0.8,7,7,0.5493266513885253,0.5493266513885253,0.657089708970897,model_pca_0.01,0.01,0.40047981300313706,0.4560108831712644
100,7,"[1000, 1000, 1000]",1.0,0.8,8,7,0.56869120770739,0.56869120770739,0.6829162916291629,model_pca_0.01,0.01,0.4073883733982676,0.48822011041588903
100,7,"[1000, 1000, 1000]",1.0,0.8,9,7,0.5553091693876538,0.5553091693876538,0.6154078264969354,model_pca_0.01,0.01,0.34096729917168966,0.44386915880538863
100,7,"[1000, 1000, 1000]",1.0,0.8,10,7,0.5603709341111396,0.5603709341111396,0.6483579786550083,model_pca_0.01,0.01,0.3820035120504633,0.4832462375962936
100,7,"[1000, 1000, 1000]",1.0,0.8,11,7,0.5578052226439839,0.557805222643984,0.6707162144785906,model_pca_0.01,0.01,0.479385708189835,0.4932064274897913
100,7,"[1000, 1000, 1000]",1.0,0.8,12,7,0.5552892392069049,0.5552892392069049,0.6155861300415755,model_pca_0.01,0.01,0.3836661774850818,0.4607810346277087
100,7,"[1000, 1000, 1000]",1.0,0.8,13,7,0.5816890118080171,0.5816890118080171,0.6053936822253654,model_pca_0.01,0.01,0.33746454158122996,0.45746620482635986
100,7,"[1000, 1000, 1000]",1.0,0.8,14,7,0.558355804663883,0.558355804663883,0.644082122497964,model_pca_0.01,0.01,0.35150325671792565,0.4732525940716103
100,7,"[1000, 1000, 1000]",1.0,0.8,15,7,0.537900713606029,0.537900713606029,0.6657340019716257,model_pca_0.01,0.01,0.47996161002823,0.4876223803017998
100,7,"[1000, 1000, 1000]",1.0,0.8,16,7,0.542144271294252,0.5421442712942519,0.5994616604517594,model_pca_0.01,0.01,0.3745418313830345,0.44788511041176915
100,7,"[1000, 1000, 1000]",1.0,0.8,17,7,0.5486924892613643,0.5486924892613643,0.5955578414984356,model_pca_0.01,0.01,0.3940931487192267,0.4394648361900269
100,7,"[1000, 1000, 1000]",1.0,0.8,18,7,0.5621954246299689,0.5621954246299689,0.6376357635763575,model_pca_0.01,0.01,0.34327149300090404,0.455568472467322
100,7,"[1000, 1000, 1000]",1.0,0.8,19,7,0.5624861879526795,0.5624861879526794,0.5853773948823454,model_pca_0.01,0.01,0.3037570232049961,0.44209275740493253
100,5,"[1000, 1000, 1000]",1.0,0.8,3,5,0.43899579419856966,0.4389957941985697,0.715137113711371,model_pca_0.01,0.01,0.590885443145171,0.5331286514391829
100,5,"[1000, 1000, 1000]",1.0,0.8,0,5,0.44672473208359875,0.44672473208359864,0.7386690669066907,model_pca_0.01,0.01,0.5549287509646067,0.5530389346339277
100,5,"[1000, 1000, 1000]",1.0,0.8,2,5,0.4494331300999382,0.44943313009993824,0.6844380438043803,model_pca_0.01,0.01,0.43874814774665544,0.5153358112103104
100,5,"[1000, 1000, 1000]",1.0,0.8,1,5,0.4323377844174248,0.4323377844174249,0.6411569156915692,model_pca_0.01,0.01,0.3915796206743194,0.4881916870486116
100,5,"[1000, 1000, 1000]",1.0,0.8,5,5,0.43921635884195737,0.4392163588419573,0.6411257125712571,model_pca_0.01,0.01,0.35960460193908345,0.4776552412991078
100,5,"[1000, 1000, 1000]",1.0,0.8,7,5,0.42752734884054006,0.4275273488405401,0.6997203720372036,model_pca_0.01,0.01,0.47903647367610713,0.5094446681694984
100,5,"[1000, 1000, 1000]",1.0,0.8,4,5,0.4503330228561335,0.4503330228561334,0.6654281428142813,model_pca_0.01,0.01,0.5013336799249266,0.5023439725324544
100,5,"[1000, 1000, 1000]",1.0,0.8,6,5,0.4508133815445174,0.45081338154451733,0.7335397539753974,model_pca_0.01,0.01,0.5218561239499315,0.5404443938103692
100,5,"[1000, 1000, 1000]",1.0,0.8,8,5,0.4479319942449989,0.44793199424499885,0.7154443444344434,model_pca_0.01,0.01,0.5315675032159495,0.5331140505049514
100,5,"[1000, 1000, 1000]",1.0,0.8,10,5,0.44563390320824875,0.4456339032082488,0.7179045904590459,model_pca_0.01,0.01,0.5522755982268525,0.5464448160679669
100,5,"[1000, 1000, 1000]",1.0,0.8,9,5,0.4551679321734366,0.45516793217343665,0.6748802880288027,model_pca_0.01,0.01,0.6069210870986496,0.5143429969458964
100,5,"[1000, 1000, 1000]",1.0,0.8,11,5,0.44579287879803475,0.44579287879803475,0.6533141314131412,model_pca_0.01,0.01,0.45642105657567617,0.49593956373891923
100,5,"[1000, 1000, 1000]",1.0,0.8,13,5,0.46042435384906755,0.46042435384906755,0.64801200120012,model_pca_0.01,0.01,0.45683992614469937,0.49469916708270634
100,5,"[1000, 1000, 1000]",1.0,0.8,12,5,0.4614093589338443,0.46140935893384427,0.6798319831983198,model_pca_0.01,0.01,0.46263296345757815,0.5017830227809466
100,5,"[1000, 1000, 1000]",1.0,0.8,15,5,0.4409658194228376,0.4409658194228375,0.7335421542154215,model_pca_0.01,0.01,0.5464477134776567,0.5218163756356966
100,5,"[1000, 1000, 1000]",1.0,0.8,14,5,0.44244881967892263,0.4424488196789226,0.6527404740474048,model_pca_0.01,0.01,0.4652316381894192,0.5106986480454966
