N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.4815957619995637,0.4815957619995638,0.6348994899489948,model_tucker_0.02,0.02,0.2681442550117167,0.4839737204935348
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.5209871626556228,0.5209871626556228,0.8199483948394839,model_tucker_0.02,0.02,0.5257340059564541,0.599352743490245
100,5,"[400, 400, 400]",1.0,0.75,4,5,0.5115790431158914,0.5115790431158914,0.7427182718271826,model_tucker_0.02,0.02,0.5103213834749724,0.5557168039292772
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.5136681981327638,0.5136681981327638,0.7277863786378638,model_tucker_0.02,0.02,0.5772211034369595,0.5741692998653671
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.5270342545122273,0.5270342545122272,0.7027398739873987,model_tucker_0.02,0.02,0.38390459568792046,0.5404194908950707
100,5,"[400, 400, 400]",1.0,0.75,5,5,0.512502201954599,0.5125022019545988,0.6584602460246024,model_tucker_0.02,0.02,0.4103477452863051,0.525710417878251
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.5392950159094378,0.5392950159094378,0.7497941794179417,model_tucker_0.02,0.02,0.4690230607771139,0.5568269540683896
100,5,"[400, 400, 400]",1.0,0.75,7,5,0.5108150895544852,0.5108150895544852,0.726089408940894,model_tucker_0.02,0.02,0.4633366720849578,0.5389738402846779
100,5,"[400, 400, 400]",1.0,0.75,9,5,0.5318364950506316,0.5318364950506316,0.7101302130213021,model_tucker_0.02,0.02,0.4491346269071493,0.569104657935316
100,5,"[400, 400, 400]",1.0,0.75,8,5,0.5149561343717567,0.5149561343717568,0.6898433843384337,model_tucker_0.02,0.02,0.43350346774401566,0.5422278611902647
100,5,"[400, 400, 400]",1.0,0.75,11,5,0.5273856131432612,0.5273856131432613,0.6951839183918391,model_tucker_0.02,0.02,0.45346030678362126,0.5444227536953882
100,5,"[400, 400, 400]",1.0,0.75,10,5,0.5113964510219898,0.5113964510219899,0.6776837683768375,model_tucker_0.02,0.02,0.5363354672524377,0.5419944440199631
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.5140378721016253,0.5140378721016254,0.677088508850885,model_tucker_0.02,0.02,0.3767465192492735,0.5201214410594128
100,5,"[400, 400, 400]",1.0,0.75,13,5,0.5455813849800999,0.5455813849800999,0.6845316531653165,model_tucker_0.02,0.02,0.4333913288538893,0.5371864731098509
100,5,"[400, 400, 400]",1.0,0.75,14,5,0.49400940055771336,0.49400940055771325,0.7940354035403538,model_tucker_0.02,0.02,0.5439028217780887,0.5773447998886687
100,5,"[400, 400, 400]",1.0,0.75,15,5,0.5147433196667803,0.5147433196667803,0.6792703270327032,model_tucker_0.02,0.02,0.4402419685672939,0.5273514031892684
100,5,"[400, 400, 400]",1.0,0.75,16,5,0.5382516477061638,0.5382516477061638,0.6828610861086108,model_tucker_0.02,0.02,0.29446515696302816,0.5280885430504669
100,5,"[400, 400, 400]",1.0,0.75,17,5,0.5176351309660422,0.5176351309660422,0.7048808880888087,model_tucker_0.02,0.02,0.4676101901273614,0.5548049680153854
100,5,"[400, 400, 400]",1.0,0.75,18,5,0.5453684684881178,0.5453684684881177,0.6849420942094209,model_tucker_0.02,0.02,0.3709613834067368,0.5462020356943574
100,5,"[400, 400, 400]",1.0,0.75,19,5,0.5168274731842885,0.5168274731842883,0.6958943894389439,model_tucker_0.02,0.02,0.44898499807127035,0.5337884825150112
100,1,"[400, 400, 400]",1.0,0.75,1,1,0.12311707159628797,0.12311707159628793,0.9976837683768376,model_tucker_0.02,0.02,0.9054821777453655,0.7009549708352386
100,1,"[400, 400, 400]",1.0,0.75,0,1,0.1309913100592904,0.13099131005929032,0.9976717671767176,model_tucker_0.02,0.02,0.9054821777453655,0.7207305824020795
100,1,"[400, 400, 400]",1.0,0.75,2,1,0.13175361087128637,0.13175361087128634,0.9973117311731172,model_tucker_0.02,0.02,0.9202477739063104,0.7243122883904173
100,1,"[400, 400, 400]",1.0,0.75,3,1,0.14452609561265717,0.14452609561265717,0.9976597659765976,model_tucker_0.02,0.02,0.9202477739063104,0.7269771809792442
