N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,3,30,0.6996265993739789,0.6996265993739788,0.724994899489949,model_pca_0.005,0.005,0.5233150623980583,0.5782269826704248
100,5,"[400, 400, 400]",1.0,0.75,0,30,0.7169611195980492,0.7169611195980492,0.8765316531653164,model_pca_0.005,0.005,0.6397664202022252,0.642930769239327
100,5,"[400, 400, 400]",1.0,0.75,1,30,0.6961639798901939,0.6961639798901937,0.6362100210021,model_pca_0.005,0.005,0.35614423036174264,0.5030862178348452
100,5,"[400, 400, 400]",1.0,0.75,2,30,0.7021735427036021,0.702173542703602,0.7576213621362136,model_pca_0.005,0.005,0.5068690478710338,0.5559526035179655
100,5,"[400, 400, 400]",1.0,0.75,4,30,0.7074838266994373,0.7074838266994374,0.7558355835583558,model_pca_0.005,0.005,0.5490880024358747,0.597435033704227
100,5,"[400, 400, 400]",1.0,0.75,5,30,0.6959385702527312,0.6959385702527312,0.6406912691269125,model_pca_0.005,0.005,0.42085622765395814,0.4947847716031655
100,5,"[400, 400, 400]",1.0,0.75,6,30,0.6814250490128219,0.681425049012822,0.7001572157215721,model_pca_0.005,0.005,0.38181421899776874,0.5176392384111226
100,5,"[400, 400, 400]",1.0,0.75,9,30,0.7093068350503025,0.7093068350503023,0.6752235223522352,model_pca_0.005,0.005,0.4143096896475314,0.5270778834649849
100,5,"[400, 400, 400]",1.0,0.75,7,30,0.7019033933090828,0.701903393309083,0.6903762376237623,model_pca_0.005,0.005,0.4332458395377462,0.5372245197550466
100,5,"[400, 400, 400]",1.0,0.75,8,30,0.7230610084861632,0.7230610084861631,0.7239315931593158,model_pca_0.005,0.005,0.5680909151275411,0.5809144982989332
100,5,"[400, 400, 400]",1.0,0.75,10,30,0.7035164725888485,0.7035164725888485,0.7716267626762675,model_pca_0.005,0.005,0.5923636740572106,0.5967381989636181
100,5,"[400, 400, 400]",1.0,0.75,14,30,0.7033390520142322,0.7033390520142322,0.7887668766876686,model_pca_0.005,0.005,0.5404175911689184,0.5979347747056711
100,5,"[400, 400, 400]",1.0,0.75,11,30,0.6894275164282743,0.6894275164282743,0.6876711671167116,model_pca_0.005,0.005,0.47698522227599527,0.5255869876934725
100,5,"[400, 400, 400]",1.0,0.75,13,30,0.7161156694854535,0.7161156694854535,0.6321728172817281,model_pca_0.005,0.005,0.4174306610245783,0.5283095884993373
100,5,"[400, 400, 400]",1.0,0.75,12,30,0.7087940428479004,0.7087940428479005,0.6865694569456944,model_pca_0.005,0.005,0.44816461869909147,0.5154934507955649
