N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,1,5,0.490501525624855,0.49050152562485494,0.6508346834683467,model_pca_0.01,0.01,0.3378425370519674,0.4992949912919177
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.4989988126425831,0.49899881264258306,0.7823414341434143,model_pca_0.01,0.01,0.6043018095807803,0.5806120174471033
100,5,"[400, 400, 400]",1.0,0.75,2,5,0.5179793813470964,0.5179793813470963,0.7086564656465646,model_pca_0.01,0.01,0.48008952200975963,0.5382546118698595
100,5,"[400, 400, 400]",1.0,0.75,4,5,0.5192766911642458,0.5192766911642458,0.6294341434143413,model_pca_0.01,0.01,0.4466088936557512,0.5141737867968084
100,5,"[400, 400, 400]",1.0,0.75,3,5,0.5055576285625106,0.5055576285625106,0.7106798679867986,model_pca_0.01,0.01,0.5016031963026791,0.5501609095944036
100,5,"[400, 400, 400]",1.0,0.75,5,5,0.5132349540882619,0.5132349540882619,0.6492457245724572,model_pca_0.01,0.01,0.3877112675019745,0.5109363782198568
100,5,"[400, 400, 400]",1.0,0.75,7,5,0.49000010215344014,0.49000010215344014,0.7116591659165916,model_pca_0.01,0.01,0.4679732338329711,0.5389652213423131
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.5159866424970972,0.5159866424970972,0.7058481848184817,model_pca_0.01,0.01,0.34801407168423704,0.563035039485721
100,5,"[400, 400, 400]",1.0,0.75,8,5,0.5175195461979762,0.5175195461979764,0.6811401140114011,model_pca_0.01,0.01,0.3428146716869546,0.5055516184102516
100,5,"[400, 400, 400]",1.0,0.75,9,5,0.5095146909336093,0.5095146909336092,0.686108610861086,model_pca_0.01,0.01,0.4405654113591008,0.5440627934560709
100,5,"[400, 400, 400]",1.0,0.75,10,5,0.5196625696969709,0.5196625696969709,0.6653777377737773,model_pca_0.01,0.01,0.4674718243896965,0.5361204293190586
100,5,"[400, 400, 400]",1.0,0.75,13,5,0.5317758592974143,0.5317758592974143,0.6977857785778576,model_pca_0.01,0.01,0.45496898142774767,0.5411704356054646
100,5,"[400, 400, 400]",1.0,0.75,11,5,0.5202583345295794,0.5202583345295795,0.6658697869786978,model_pca_0.01,0.01,0.44489259956598654,0.5195072850029404
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.5175334716992804,0.5175334716992804,0.7577149714971496,model_pca_0.01,0.01,0.5008795760957664,0.5517940145187762
100,5,"[400, 400, 400]",1.0,0.75,14,5,0.5067198008823302,0.50671980088233,0.7875835583558354,model_pca_0.01,0.01,0.5587071351856124,0.5966978617267708
100,5,"[400, 400, 400]",1.0,0.75,15,5,0.5178771795757867,0.5178771795757866,0.7620378037803779,model_pca_0.01,0.01,0.5928222031074316,0.5829027048286053
100,5,"[400, 400, 400]",1.0,0.75,16,5,0.5081088777026441,0.5081088777026441,0.766005400540054,model_pca_0.01,0.01,0.541420511056392,0.5645276492179911
100,5,"[400, 400, 400]",1.0,0.75,17,5,0.5350598244595922,0.5350598244595921,0.7747782778277827,model_pca_0.01,0.01,0.5325374852962012,0.5928489079946958
100,5,"[400, 400, 400]",1.0,0.75,18,5,0.5391603102105603,0.5391603102105604,0.7300090009000899,model_pca_0.01,0.01,0.3713195469658341,0.538247414452869
100,5,"[400, 400, 400]",1.0,0.75,19,5,0.5072230021862665,0.5072230021862665,0.6506258625862585,model_pca_0.01,0.01,0.41308478135196847,0.506407134078793
100,1,"[400, 400, 400]",1.0,0.75,0,29,0.46456020738287807,0.4645602073828782,0.9980198019801979,model_pca_0.01,0.01,0.9357336430507162,0.7161945414279708
100,1,"[400, 400, 400]",1.0,0.75,1,29,0.4699845495821366,0.46998454958213653,0.9977317731773176,model_pca_0.01,0.01,0.9068736141906873,0.7295061481937285
100,1,"[400, 400, 400]",1.0,0.75,3,28,0.4724894733263449,0.47248947332634483,0.9981398139813981,model_pca_0.01,0.01,0.9209680468897711,0.7501111088708786
100,1,"[400, 400, 400]",1.0,0.75,2,28,0.46765226851634073,0.4676522685163407,0.9982838283828381,model_pca_0.01,0.01,0.9512195121951219,0.7453248184384321
100,1,"[400, 400, 400]",1.0,0.75,4,27,0.46050940009746383,0.4605094000974639,0.9981638163816381,model_pca_0.01,0.01,0.9054821777453655,0.7513470684336432
100,1,"[400, 400, 400]",1.0,0.75,5,28,0.45749618438761414,0.4574961843876142,0.9976957695769575,model_pca_0.01,0.01,0.9054821777453655,0.7244749427840039
100,1,"[400, 400, 400]",1.0,0.75,6,28,0.45736468390115803,0.45736468390115803,0.9986678667866786,model_pca_0.01,0.01,0.8611362797409309,0.7181529330957406
100,1,"[400, 400, 400]",1.0,0.75,8,28,0.45772138727377926,0.4577213872737792,0.998103810381038,model_pca_0.01,0.01,0.9519938056523422,0.7042276361171081
100,1,"[400, 400, 400]",1.0,0.75,7,27,0.4508379215107705,0.4508379215107705,0.9978037803780377,model_pca_0.01,0.01,0.9054821777453655,0.7391472678166782
100,1,"[400, 400, 400]",1.0,0.75,10,29,0.46760111157526535,0.4676011115752654,0.9984398439843983,model_pca_0.01,0.01,0.9202477739063104,0.7233110978911022
100,1,"[400, 400, 400]",1.0,0.75,9,28,0.4671307663609418,0.46713076636094175,0.9985598559855984,model_pca_0.01,0.01,0.8913877450462816,0.728110365262553
100,1,"[400, 400, 400]",1.0,0.75,11,28,0.4551743018085726,0.45517430180857266,0.9986318631863185,model_pca_0.01,0.01,0.9202477739063104,0.7313939591372414
100,1,"[400, 400, 400]",1.0,0.75,12,29,0.4705088343759442,0.47050883437594415,0.9976957695769575,model_pca_0.01,0.01,0.9202477739063104,0.7277066407418151
100,1,"[400, 400, 400]",1.0,0.75,13,28,0.46098516283133906,0.46098516283133906,0.998211821182118,model_pca_0.01,0.01,0.9054821777453655,0.7288953556648449
100,1,"[400, 400, 400]",1.0,0.75,14,28,0.46075510239785383,0.4607551023978538,0.9980438043804378,model_pca_0.01,0.01,0.9357336430507162,0.7255665797657321
100,1,"[400, 400, 400]",1.0,0.75,16,27,0.4587900201820512,0.4587900201820513,0.9980438043804378,model_pca_0.01,0.01,0.9519938056523422,0.7228590193918739
100,1,"[400, 400, 400]",1.0,0.75,17,26,0.45087410422588575,0.4508741042258858,0.999015901590159,model_pca_0.01,0.01,0.9512195121951219,0.7373670955060087
100,1,"[400, 400, 400]",1.0,0.75,18,28,0.45636716775470526,0.4563671677547052,0.9974317431743173,model_pca_0.01,0.01,0.9202477739063104,0.7203031323753833
100,1,"[400, 400, 400]",1.0,0.75,15,30,0.4725711462669971,0.47257114626699714,0.9984998499849985,model_pca_0.01,0.01,0.983739837398374,0.7038419140502734
100,1,"[400, 400, 400]",1.0,0.75,19,29,0.4719157725662755,0.4719157725662755,0.9983198319831982,model_pca_0.01,0.01,0.9674796747967479,0.7230438561662561
100,7,"[400, 400, 400]",1.0,0.75,0,7,0.6416392159961805,0.6416392159961806,0.6953495349534953,model_pca_0.01,0.01,0.43077936683047147,0.5249470932640813
100,7,"[400, 400, 400]",1.0,0.75,1,7,0.6264184468815429,0.6264184468815429,0.6120252025202519,model_pca_0.01,0.01,0.30374914973321654,0.4586583948159543
100,7,"[400, 400, 400]",1.0,0.75,2,7,0.6372702038016902,0.6372702038016902,0.669078907890789,model_pca_0.01,0.01,0.39743740806771716,0.49781190072686404
100,7,"[400, 400, 400]",1.0,0.75,3,7,0.6232198186321486,0.6232198186321486,0.6211272555827011,model_pca_0.01,0.01,0.34045200267309467,0.4824695730101793
100,7,"[400, 400, 400]",1.0,0.75,4,7,0.6231010722153983,0.6231010722153985,0.6768316831683168,model_pca_0.01,0.01,0.44990423002263025,0.510474086579441
100,7,"[400, 400, 400]",1.0,0.75,5,7,0.6436044338514434,0.6436044338514434,0.6717277442029916,model_pca_0.01,0.01,0.4163385496765596,0.5153833328458661
100,7,"[400, 400, 400]",1.0,0.75,6,7,0.6438148780619053,0.6438148780619052,0.7242227079850841,model_pca_0.01,0.01,0.471719978583723,0.530526960024455
100,7,"[400, 400, 400]",1.0,0.75,7,7,0.6180594029713024,0.6180594029713022,0.6119909133770519,model_pca_0.01,0.01,0.2707855528924291,0.44754615432209405
100,7,"[400, 400, 400]",1.0,0.75,8,7,0.6393453465340839,0.6393453465340839,0.6278890746217478,model_pca_0.01,0.01,0.3610509260409905,0.4858819822961883
100,7,"[400, 400, 400]",1.0,0.75,9,7,0.6373390614983014,0.6373390614983014,0.6235034932064635,model_pca_0.01,0.01,0.33886011123304993,0.4799788950268561
100,7,"[400, 400, 400]",1.0,0.75,10,7,0.6358179247755004,0.6358179247755003,0.6642407097852641,model_pca_0.01,0.01,0.39037377545552865,0.5070923138203941
100,7,"[400, 400, 400]",1.0,0.75,11,7,0.6269389899803827,0.6269389899803828,0.625063649222065,model_pca_0.01,0.01,0.32704552074707083,0.5013721916720255
100,7,"[400, 400, 400]",1.0,0.75,12,7,0.6307789452653718,0.6307789452653718,0.6219399082765419,model_pca_0.01,0.01,0.3484470491446641,0.4923828938859276
100,7,"[400, 400, 400]",1.0,0.75,13,7,0.6328294649679461,0.6328294649679461,0.6672187218721872,model_pca_0.01,0.01,0.4024077083800599,0.5186888437129957
100,7,"[400, 400, 400]",1.0,0.75,14,7,0.6326067426669871,0.6326067426669871,0.6399091337705199,model_pca_0.01,0.01,0.37502646950236673,0.48380870505719353
100,7,"[400, 400, 400]",1.0,0.75,15,7,0.6404468944214116,0.6404468944214115,0.5780909519523381,model_pca_0.01,0.01,0.3090736373183091,0.4655195318218281
100,7,"[400, 400, 400]",1.0,0.75,16,7,0.6258090593796684,0.6258090593796684,0.6309270927092709,model_pca_0.01,0.01,0.3509310526448639,0.4855218088131534
