N,K,D,noise_std,sparsity,seed,K_est,Var_exp_views,Var_exp_total,Cor_factors,model,tres,Jaccard_index,Cor_weights
100,5,"[400, 400, 400]",1.0,0.75,0,5,0.5240866195034163,0.5240866328587317,0.6754179417941792,model_muvi_0.01,0.01,0.36253643117241713,0.5220949143090567
100,5,"[400, 400, 400]",1.0,0.75,1,7,0.5609231679982628,0.5609231627774249,0.869138913891389,model_muvi_0.01,0.01,0.6427111337139597,0.624344080174204
100,5,"[400, 400, 400]",1.0,0.75,2,6,0.8439523269781265,0.8439523202427799,0.7602520252025201,model_muvi_0.01,0.01,0.44599814192224124,0.5645062055980925
100,5,"[400, 400, 400]",1.0,0.75,3,7,0.8766536454582295,0.8766536398624534,0.820068406840684,model_muvi_0.01,0.01,0.5614990441967084,0.6089270235130619
100,5,"[400, 400, 400]",1.0,0.75,4,8,0.8612938895065572,0.8612938836595654,0.8860630063006301,model_muvi_0.01,0.01,0.706402615886103,0.6371645109865065
100,5,"[400, 400, 400]",1.0,0.75,5,7,0.910956419569647,0.9109564137252703,0.904103210321032,model_muvi_0.01,0.01,0.697942856504524,0.6479718351682405
100,5,"[400, 400, 400]",1.0,0.75,6,5,0.6943356590203154,0.6943356467424542,0.6471455145514551,model_muvi_0.01,0.01,0.32539061292112387,0.5375262969481003
100,5,"[400, 400, 400]",1.0,0.75,7,8,0.73577100790254,0.7357709992785093,0.7970429042904289,model_muvi_0.01,0.01,0.5023433481518234,0.5875506819678742
100,5,"[400, 400, 400]",1.0,0.75,8,7,0.7707160795481999,0.7707160835492712,0.8416225622562254,model_muvi_0.01,0.01,0.545738532327279,0.6060358091956469
100,5,"[400, 400, 400]",1.0,0.75,9,8,0.806512871961156,0.8065128689409881,0.8226558655865587,model_muvi_0.01,0.01,0.5956494800819715,0.610544206520562
100,5,"[400, 400, 400]",1.0,0.75,10,7,0.7307501282518095,0.7307501140295655,0.810136213621362,model_muvi_0.01,0.01,0.5155131392027236,0.5826202520501192
100,5,"[400, 400, 400]",1.0,0.75,11,6,0.7197883989521755,0.7197884080736456,0.8639783978397839,model_muvi_0.01,0.01,0.6233140083327255,0.5978367443425027
100,5,"[400, 400, 400]",1.0,0.75,12,5,0.4447131102109894,0.4447131102109896,0.8268250825082507,model_muvi_0.01,0.01,0.4952248549652886,0.6100635610160289
100,5,"[400, 400, 400]",1.0,0.75,13,8,0.8273985490486583,0.8273985462428795,0.8696981698169817,model_muvi_0.01,0.01,0.5918509807205795,0.6026534010591535
100,5,"[400, 400, 400]",1.0,0.75,14,7,0.7278976724914367,0.727897668142822,0.7123768376837682,model_muvi_0.01,0.01,0.3699529944208786,0.5494158875078143
100,5,"[400, 400, 400]",1.0,0.75,15,7,0.8941498073943076,0.8941498084208392,0.7299633963396339,model_muvi_0.01,0.01,0.4506569120562481,0.5854697813896569
100,5,"[400, 400, 400]",1.0,0.75,16,9,0.7301300515824017,0.7301300404201809,0.7693321332133213,model_muvi_0.01,0.01,0.5336204197542087,0.5814380415796645
100,5,"[400, 400, 400]",1.0,0.75,17,7,0.7642483520997821,0.7642483477069606,0.6748202820282028,model_muvi_0.01,0.01,0.3230446486121148,0.5143983549654927
100,5,"[400, 400, 400]",1.0,0.75,18,7,0.8942501149586118,0.8942501072541102,0.764990099009901,model_muvi_0.01,0.01,0.5482787731933403,0.5838703707958298
100,5,"[400, 400, 400]",1.0,0.75,19,7,0.6898218297352944,0.6898218297352943,0.8316519651965196,model_muvi_0.01,0.01,0.5604033600426842,0.5915094424072014
100,1,"[400, 400, 400]",1.0,0.75,0,25,0.6961067752604245,0.6961067651030559,0.8177017701770176,model_muvi_0.01,0.01,0.6142557651991614,0.5719205248441955
100,1,"[400, 400, 400]",1.0,0.75,1,24,0.7055881930631637,0.7055881895081022,0.8762316231623162,model_muvi_0.01,0.01,0.7672410702120489,0.6216338316249841
100,1,"[400, 400, 400]",1.0,0.75,2,7,0.6245334108402288,0.6245334108964581,0.9905070507050704,model_muvi_0.01,0.01,0.9202477739063104,0.7313652490982371
100,1,"[400, 400, 400]",1.0,0.75,3,15,0.6026296433556689,0.6026296319140765,0.9409420942094209,model_muvi_0.01,0.01,0.8611362797409309,0.6503026777119102
100,1,"[400, 400, 400]",1.0,0.75,4,2,0.4110646997807231,0.4110646890282975,0.9962556255625562,model_muvi_0.01,0.01,0.9519938056523422,0.7086357837472348
100,1,"[400, 400, 400]",1.0,0.75,5,1,0.34864173621635314,0.34864170692715657,0.9989078907890787,model_muvi_0.01,0.01,0.9512195121951219,0.7332880994310699
100,1,"[400, 400, 400]",1.0,0.75,6,3,0.275121917134476,0.275121917134476,0.9836423642364235,model_muvi_0.01,0.01,0.8928823114869626,0.6980954738877503
100,1,"[400, 400, 400]",1.0,0.75,7,29,0.7729580429404875,0.7729580499455144,0.7743894389438943,model_muvi_0.01,0.01,0.5205448146624617,0.5259635713268785
100,1,"[400, 400, 400]",1.0,0.75,8,15,0.5991000208963514,0.5991000005847634,0.8968256825682568,model_muvi_0.01,0.01,0.7531466375129651,0.6550302221365882
100,1,"[400, 400, 400]",1.0,0.75,9,18,0.6593257577008321,0.6593257552264769,0.9615361536153614,model_muvi_0.01,0.01,0.8047138047138048,0.6702062092226964
100,1,"[400, 400, 400]",1.0,0.75,10,25,0.5982319081845398,0.5982319211121275,0.7417341734173416,model_muvi_0.01,0.01,0.5281461833185971,0.5376231293116889
100,1,"[400, 400, 400]",1.0,0.75,11,19,0.6762826036602938,0.676282595139518,0.9584398439843982,model_muvi_0.01,0.01,0.8053402239448751,0.6890277842097424
100,1,"[400, 400, 400]",1.0,0.75,12,3,0.4756621131662368,0.4756621426808154,0.9374017401740172,model_muvi_0.01,0.01,0.7965367965367965,0.6991129174018473
100,1,"[400, 400, 400]",1.0,0.75,13,6,0.4360268053397001,0.4360267661588143,0.9433783378337832,model_muvi_0.01,0.01,0.8188082374128886,0.6849489283722195
100,1,"[400, 400, 400]",1.0,0.75,14,30,0.7180367718390285,0.7180367756926109,0.7729132913291328,model_muvi_0.01,0.01,0.5303051479152109,0.5272825178001224
100,1,"[400, 400, 400]",1.0,0.75,15,4,0.4228488104782355,0.4228488300925618,0.9151635163516351,model_muvi_0.01,0.01,0.8335738335738335,0.6579873261819432
100,1,"[400, 400, 400]",1.0,0.75,16,11,0.6667650702407273,0.6667650704042785,0.9793459345934593,model_muvi_0.01,0.01,0.8604651162790699,0.706124529029915
100,1,"[400, 400, 400]",1.0,0.75,17,27,0.7634459003044357,0.7634459074856792,0.8769396939693969,model_muvi_0.01,0.01,0.7648953301127214,0.6048757443278427
100,1,"[400, 400, 400]",1.0,0.75,18,2,0.5856163517829298,0.5856163366132272,0.995055505550555,model_muvi_0.01,0.01,0.9674796747967479,0.7175775571551511
100,1,"[400, 400, 400]",1.0,0.75,19,13,0.5831175883422351,0.5831175557125544,0.9692529252925293,model_muvi_0.01,0.01,0.9682539682539683,0.673813774627582
100,7,"[400, 400, 400]",1.0,0.75,0,11,0.8748014412975006,0.8748014412975007,0.8054725472547254,model_muvi_0.01,0.01,0.5889940540540595,0.5752805065700215
100,7,"[400, 400, 400]",1.0,0.75,1,8,0.6987698456169203,0.6987698043256385,0.7733161887617334,model_muvi_0.01,0.01,0.4941700058235187,0.5660854487250994
100,7,"[400, 400, 400]",1.0,0.75,2,11,0.759003979880478,0.7590039798804779,0.7712828425699714,model_muvi_0.01,0.01,0.5088466954034624,0.5550638466088043
100,7,"[400, 400, 400]",1.0,0.75,3,12,0.8144136621637541,0.8144136490841488,0.7182872572971581,model_muvi_0.01,0.01,0.4368442772512394,0.5380223012417217
100,7,"[400, 400, 400]",1.0,0.75,4,9,0.6702430937155269,0.6702431062228753,0.7251810895375251,model_muvi_0.01,0.01,0.4031495066232832,0.5238534208205973
